close,volume,date,high,low,open
75558174.55810702,32402139837446.625,2017-10-18 23:59:59.999000+00:00,75679586.7260897,69621710.8081069,75679586.7260897
77184899.18409105,24063998532480.49,2017-10-19 23:59:59.999000+00:00,77669357.67041923,74752276.69189607,75464249.26757967
81256772.29000115,31834247380995.72,2017-10-20 23:59:59.999000+00:00,81914505.02193445,76080149.3359582,77179353.4614348
81529138.5199815,29833369402354.08,2017-10-21 23:59:59.999000+00:00,83736191.3759375,80629848.81392723,81058610.95797
81215812.08394648,27502093926259.17,2017-10-22 23:59:59.999000+00:00,82132803.25191481,78295057.66793223,81597535.33199318
80296530.41992654,32465673010160.85,2017-10-23 23:59:59.999000+00:00,82202730.58592747,77617646.70898888,81183101.99996212
74775441.04979557,37041377566722.15,2017-10-24 23:59:59.999000+00:00,80366941.06445779,74471557.77831122,80366941.06445779
78067107.34867574,26613374050556.76,2017-10-25 23:59:59.999000+00:00,78115030.81058984,73249230.00979969,74747839.32127994
80187592.46091777,25860918000014.223,2017-10-26 23:59:59.999000+00:00,81164941.34763628,77551140.01221168,78028423.9014101
78695390.37055862,23223566051834.285,2017-10-27 23:59:59.999000+00:00,81681641.46484636,77986424.26704341,80118472.38279279
78316812.04292212,19111562959988.62,2017-10-28 23:59:59.999000+00:00,79999792.28462034,77446942.67231718,78789591.26704293
83772361.37934466,38920111519976.83,2017-10-29 23:59:59.999000+00:00,85158979.6981915,77928708.60346924,78335190.92231666
83252594.4824014,24124278167793.64,2017-10-30 23:59:59.999000+00:00,84399567.38279174,82034744.3261517,83241454.37934498
87711502.67574055,31388539965432.28,2017-10-31 23:59:59.999000+00:00,87739033.18355304,82736742.53909457,83272831.86521389
91866234.04546069,38921540935661.94,2017-11-01 23:59:59.999000+00:00,91866234.04546069,86675387.60745317,87339556.11324072
95913674.9999741,63174931008034.75,2017-11-02 23:59:59.999000+00:00,99827322.5585668,91749626.91655436,92008228.01518732
97268718.0371634,45661604300787.67,2017-11-03 23:59:59.999000+00:00,100690109.07720438,94889836.20602909,96036028.58884126
99592427.88579752,33518881863698.62,2017-11-04 23:59:59.999000+00:00,101116143.85503665,94887120.7007363,96684657.33647949
99963000.05864929,32123634461457.844,2017-11-05 23:59:59.999000+00:00,102797892.33648288,98961398.25933231,99923997.66362973
94968780.31056456,41995089204503.33,2017-11-06 23:59:59.999000+00:00,100480666.41363004,94759853.92238094,99906456.7993719
96534860.9765103,31459097118213.86,2017-11-07 23:59:59.999000+00:00,97985097.50537392,94973382.62062316,94973382.62062316
100817709.55810754,62184927264734.37,2017-11-08 23:59:59.999000+00:00,105098315.2441428,96124638.50385426,96494324.97651032
96524054.0155728,43602768533760.89,2017-11-09 23:59:59.999000+00:00,100643908.50586145,95977043.0639668,100643908.50586145
89543436.04979376,70373872054233.94,2017-11-10 23:59:59.999000+00:00,98799743.99994656,87090852.68553625,96931439.49604131
86018329.32127857,66414442997751.9,2017-11-11 23:59:59.999000+00:00,92993718.1786996,83943099.5068257,89549791.45018439
80504444.72166987,121192943984625.22,2017-11-12 23:59:59.999000+00:00,89636923.85741094,74672202.12889715,85177441.14256774
88881092.67575726,84741771417589.66,2017-11-13 23:59:59.999000+00:00,92291623.70602976,79190130.02927549,80344522.4999902
89914412.49997573,43320840716788.31,2017-11-14 23:59:59.999000+00:00,91577533.99565376,87556712.49997637,88908053.73532756
99001203.3485936,56921925734384.63,2017-11-15 23:59:59.999000+00:00,99362669.24996065,89900994.82419448,89900994.82419448
106582681.8066468,69340517915108.52,2017-11-16 23:59:59.999000+00:00,107878323.61328752,97113481.61717016,99105410.0917576
104264092.91991249,62983612016643.66,2017-11-17 23:59:59.999000+00:00,108222054.68752944,102233495.77735569,106337335.41992804
105361777.42918974,49598744966395.54,2017-11-18 23:59:59.999000+00:00,106644492.91991228,100943025.20751044,104104764.72167031
108693530.4199121,42594552134396.16,2017-11-19 23:59:59.999000+00:00,109578334.8632714,104062703.8207914,105035552.84422883
110979256.36226071,47181286899195.75,2017-11-20 23:59:59.999000+00:00,112822731.1376506,107562788.31010796,108728419.3725488
109220287.148418,57888895913449.06,2017-11-21 23:59:59.999000+00:00,112974069.23435484,105122618.2910414,111048282.59175289
111629261.1083884,49168929475575.23,2017-11-22 23:59:59.999000+00:00,112288063.33006802,109180357.3047172,109310822.04294924
108611821.73385777,57145558201594.86,2017-11-23 23:59:59.999000+00:00,111816590.28319308,108611821.73385777,111342937.91502903
111424820.80074224,68346882087917.78,2017-11-24 23:59:59.999000+00:00,113084658.75003327,107242262.02394772,109088084.48385765
118677418.94527096,58617810431979.484,2017-11-25 23:59:59.999000+00:00,118677418.94527096,110580523.68160193,111263084.47261731
125962422.36323716,73920328703974.12,2017-11-26 23:59:59.999000+00:00,128559550.781205,118470462.89058352,118652040.52730222
132714631.66985996,76319822591973.28,2017-11-27 23:59:59.999000+00:00,132714631.66985996,126261716.30854955,126261716.30854955
135844091.36233246,85816999507415.97,2017-11-28 23:59:59.999000+00:00,136747581.13772327,131488728.86233158,132783299.08587556
133516016.96680015,156236640542751.94,2017-11-29 23:59:59.999000+00:00,155507940.07422256,129633110.75195631,136095292.27541846
138399201.11713406,112210933571586.77,2017-11-30 23:59:59.999000+00:00,145835102.00000358,124448521.55854572,133761479.10742515
148434009.1171302,91734913148892.6,2017-12-01 23:59:59.999000+00:00,149395573.44134858,131110451.8827619,137925861.11713427
149772885.11712968,69493075298277.17,2017-12-02 23:59:59.999000+00:00,153094387.44134715,147480567.11713058,148470526.55853644
153134959.44134715,89370781194205.5,2017-12-03 23:59:59.999000+00:00,160377061.44134435,146897687.9999433,149882437.4413484
157663632.64158738,82934710892511.98,2017-12-04 23:59:59.999000+00:00,157663632.64158738,149881342.35838494,153029474.88275343
161089953.2401667,93258393663991.6,2017-12-05 23:59:59.999000+00:00,162648575.99993166,156847768.32027668,158049095.14158735
193478326.99998763,171087863832504.1,2017-12-06 23:59:59.999000+00:00,194528870.5117063,161180526.480401,161180526.480401
242540924.41399705,243016570101744.44,2017-12-07 23:59:59.999000+00:00,242540924.41399705,190434240.45411828,193134456.5117064
224432528.2910916,286392786124722.7,2017-12-08 23:59:59.999000+00:00,248780342.2949368,194193315.79108137,241229300.29290363
205588721.6455774,188428559800383.7,2017-12-09 23:59:59.999000+00:00,227325735.0000769,185226525.7910784,223808109.082107
209343398.2910865,181954048066621.6,2017-12-10 23:59:59.999000+00:00,214696371.70905703,179154291.70904502,205455983.2910852
229493650.5858756,164624575933495.72,2017-12-11 23:59:59.999000+00:00,237313350.29290468,208658013.3545628,208964138.29108635
